article_id,tweet_id,tweet_body,post_timestamp,post_location,conversation_id,retweet_count,reply_count,like_count,quote_count,user_id,user_timestamp,user_nickname,username,user_location,user_followers,user_following,user_tweet_count,user_listed_count
2,1509678997830918145,What's the point of having a strategic petroleum reserve if it's gonna be useless in the next few decades.,2022-03-31T23:48:16.000Z,,1509678997830918145,0,0,0,0,778892245,2012-08-24T20:11:40.000Z,심재혁,Jasonjhsim,"Los Angeles, CA",22,66,952,0
2,1509673867131858945,"@TheRickWilson Mickey's arsenal is said to be well-funded - and per intel sources, his Mickey Mouse Club has been producing Assassin Mousketeers for decades. DeSantis has no chance after after having deployed National Guard Troops to Texas - a massive strategic blunder.",2022-03-31T23:27:52.000Z,,1509671744583389184,1,0,12,0,794743643919814659,2016-11-05T03:30:25.000Z,Operative_X,OperativeXRay,"Colorado, USA",5223,1442,21669,10
2,1509671735628603393,"@karenbradyuk @wride_nicholas @jeremycorbyn A complications is that the indigenous people - Crimean Tatars - were systematically killed by Stalin &amp; are persecuted under Putin today. Russia flooded Crimea with Russians.

There’s no doubt Crimea is a huge strategic gain for Russia, one they worked hard for decades to regain.",2022-03-31T23:19:24.000Z,,1508494768011202560,0,0,1,0,1064314368,2013-01-06T00:00:42.000Z,Silas Denyer #FBPE #FBPPR,silasdenyer,Yorkshire Dales & London,170,519,7357,6
2,1509667846334390279,@SecGranholm @EIAgov Madame secretary I think they got the picture! strategic placed worldwide; near ports oil refinery and storage? what would happen to world if all these destroyed ?everything stops; for many decades?,2022-03-31T23:03:57.000Z,,1509655507941748752,0,0,0,0,1390005001578233857,2021-05-05T18:07:04.000Z,Antonio Randazzo61,Antonio09380351,,341,4997,16290,4
2,1509665158507163650,"@StoneMan489 @BarristersHorse You seem to be ignoring the fundamental strategic importance of Ukraine which was one of the main 3 attack thrusts in WWII, it's the straw that broke the camel's back after decades of NATO expansion",2022-03-31T22:53:16.000Z,,1508790138280755202,0,1,0,0,1367921624,2013-04-20T20:17:29.000Z,Clive Norris🇷🇺🇬🇧,bunter888,UK,3997,4418,66365,34
2,1509658967148056581,"@JoeBiden Geeee..... nothing like using the STRATEGIC OIL SUPPLY for NON STRATEGIC purposes when you have America the closest it has been to a muti-front war in decades. 

It is like he is being paid to F America into the ground.",2022-03-31T22:28:40.000Z,,1509648482558164999,0,0,1,0,1633410474,2013-07-30T17:35:50.000Z,MickB,MickB90790676,,35,50,7463,0
2,1509644764081229829,"@dailydirtnap USA strategic gold reserves haven’t been audited in decades. How much has been loaned, sold?  Would be interesting to know actual tangible reserves",2022-03-31T21:32:14.000Z,,1509585332416696326,0,0,0,0,1264266520642772993,2020-05-23T18:46:53.000Z,TB,MbTboy,"Miami Beach, FL",313,393,97212,9
2,1509642719215464452,"So after 50 years of being virtually empty, I built up our oil reserves during my administration, and low energy prices, to 100% full. It’s called the Strategic National Reserves, and it hasn’t been full for many decades. In fact, it’s been mostly emp… #POTUS45 #Trump 2022-03-31 https://t.co/aUfCgKXNAX",2022-03-31T21:24:06.000Z,,1509642719215464452,1,2,2,0,1456500135031083014,2021-11-05T05:54:42.000Z,"President Donald J. Trump, Public Statements",45Relay,Mar-a-Lago,288,392,4191,7
2,1509632402691350532,"@jimcramer They have allowed India to get away with things for decades, just because they are of strategic importance to the west and I don't see that changing anytime soon",2022-03-31T20:43:07.000Z,,1509519949982752770,0,0,0,0,1495903232312360966,2022-02-21T23:28:28.000Z,Greg,Sienagregorio,,2,14,317,0
2,1509620279122829312,"India🇮🇳 has been a strategic partner of France 🇫🇷 for decades. With Admiral Kumar, we affirmed our willingness to continue our efforts in this direction, particularly in the maritime security domain. https://t.co/BpmyA5qa25",2022-03-31T19:54:56.000Z,,1509620272520904705,1,1,17,1,1016966618105171968,2018-07-11T08:45:10.000Z,Chef d'état-major de la Marine,amiralVandier,"Paris, France",26662,356,788,209
6,1509382738327048196,"""Emmett Till Antilynching Act"" becomes Law after President Biden signs the bill on Tuesday White House Rose Garden signing ceremony on Tuesday witnesses US President Joe Biden signing a bill into law that makes lynching a... #Global by #EconomicTimes https://t.co/TrvxTcv4NX",2022-03-31T04:11:02.000Z,,1509382738327048196,0,0,0,0,1263898793012916224,2020-05-22T18:25:46.000Z,Market’s Cafe,MarketsCafe,India,1273,21,425216,19
7,1509566278154997766,"@LindseyGrahamSC Screechy does his usual 180 on good citizenship. He turned on his former close colleague Joe Biden; he stomped on the legacy of John McCain. Republicans do NOT want equal justice under law. They want the Ginni, Clarence, Shouting Beer Fan, and the Handmaid Court.",2022-03-31T16:20:21.000Z,,1509545727164395532,0,0,0,0,1355406758,2013-04-15T21:38:27.000Z,jmc,somervilleny,"Somerville, MA",6316,6567,103798,21
7,1509522635150921729,"This is totally bizarre. Which now makes clearer why many Democrats are not speaking out in support of Biden. It's been told no Republicans are allowed in any top White House meetings...very strange. Is it because someone might leak something about Joe?

https://t.co/VZXts0IrEg",2022-03-31T13:26:56.000Z,,1509522635150921729,0,0,0,0,3053723144,2015-03-01T21:22:26.000Z,Cline Davis,davis_cline,"Surprise, AZ",184,365,5789,0
7,1509273553551589376,"You may have seen some social media users share a video that they claimed @POTUS doesn't want on the internet, of crowds chanting ""F--- Joe Biden!"" at his speeches. That audio's not real. It was edited to make it sound like crowds were throwing the f-bomb. https://t.co/DuJvJ7Rc0S https://t.co/E7kDhI4YpY",2022-03-30T20:57:10.000Z,,1509273553551589376,25,5,37,2,452366205,2012-01-01T19:17:01.000Z,Gabrielle Settles,GPSettles,,210,216,919,6
7,1509264060679790592,Hosts on The View got into an ideological shouting match Wednesday about President Joe Biden's unsuccessful efforts to pass a budget via the Build Back Better bill.... https://t.co/Qd9PllRMgD,2022-03-30T20:19:27.000Z,,1509264060679790592,0,0,0,0,1401610352920465409,2021-06-06T18:42:15.000Z,SkyNet Platforms: #TheBrain,SkyNetPlatform,Washington,245,211,161617,5
7,1509258127375421442,"@Sha_dow_dra_gon @POTUS NASCAR when reporter heard the crowd yelling FUCK JOE BIDEN, tried to gaslight by saying they were shouting LETS GO BRANDON since the winners name was Brandon!🤣 https://t.co/gnrMF7hans",2022-03-30T19:55:52.000Z,,1509240289415905284,0,0,0,0,911018090187517952,2017-09-22T00:03:33.000Z,KATPATRIOT17,loera_katrina,,150,316,4058,1
9,1509107121765330946,"@Book_Worm_83 Hi there, I scraped some twitter data and your username came up. Thank you for tweeting 400+  within the last year to support Lia Thomas!",2022-03-30T09:55:50.000Z,,1509066969282088961,0,0,0,0,69943928,2009-08-29T19:37:40.000Z,Sansan Maria,mariafangshan,"Jakarta Capital Region, Indone",120,157,1138,12
